postalCode,Count_res,zip_x,pcapita,zip_y,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone,densitycountratio,selection_index
75050,2,75050,-0.7325490665272292,75050,33.17311,-96.69773,Mckinney,TX,Texas,True,,74734,1208.3,48085,Collin,{'48085':100},False,False,America/Chicago,-0.03747314035320091,-0.7700222068804301
70806,2,70806,-0.17984672558183715,70806,32.594609999999996,-92.89716999999999,Arcadia,LA,Louisiana,True,,4531,14.1,22013,Bienville,"{'22013':83.73,'22027':7.83,'22061':8.43}",False,False,America/Chicago,-0.3387376728027671,-0.5185843983846042
2150,2,2150,-0.6677599020118153,2150,42.395920000000004,-71.03245,Chelsea,MA,Massachusetts,True,,35124,6133.1,25025,Suffolk,{'25025':100},False,False,America/New_York,1.2049214078025718,0.5371615057907565
2152,2,2152,0.3295218178285253,2152,42.37279,-70.97788,Winthrop,MA,Massachusetts,True,,17497,3425.0,25025,Suffolk,{'25025':100},False,False,America/New_York,0.5217406337892824,0.8512624516178077
76039,2,76039,0.014822956231733983,76039,32.64076,-97.21584,Kennedale,TX,Texas,True,,6764,353.0,48439,Tarrant,{'48439':100},False,False,America/Chicago,-0.2532423202260145,-0.23841936399428051
76266,2,76266,-0.05262546503617827,76266,34.09738,-98.62144,Burkburnett,TX,Texas,True,,11270,55.4,48485,Wichita,{'48485':100},False,False,America/Chicago,-0.32831879389624635,-0.3809442589324246
25304,2,25304,0.32057704511557633,25304,38.36314,-81.54924,Charleston,WV,West Virginia,True,,10815,147.8,54039,Kanawha,{'54039':100},False,False,America/New_York,-0.305008759732505,0.015568285383071312
72335,2,72335,-1.1585740858081552,72335,35.022890000000004,-90.72165,Madison,AR,Arkansas,True,,430,78.7,5123,St. Francis,{'05123':100},False,False,America/Chicago,-0.32244083073590896,-1.4810149165440643
22747,2,22747,1.0440761947555204,22747,38.434129999999996,-78.867,Harrisonburg,VA,Virginia,True,,3311,2949.5,51660,Harrisonburg,{'51660':100},False,False,America/New_York,0.40178477616093805,1.4458609709164585
70518,2,70518,0.14857148335170695,70518,29.732409999999998,-91.46084,Franklin,LA,Louisiana,True,,14844,37.0,22101,St. Mary,{'22101':100},False,False,America/Chicago,-0.33296061888123385,-0.1843891355295269
7604,2,7604,0.3478948644821501,7604,40.861909999999995,-74.07413000000001,Hasbrouck Heights,NJ,New Jersey,True,,11842,2993.2,34003,Bergen,{'34003':100},False,False,America/New_York,0.4128091105002832,0.7607039749824334
70791,2,70791,-0.281261108097569,70791,30.376009999999997,-90.9809,Baton Rouge,LA,Louisiana,True,,31192,468.5,22033,East Baton Rouge,{'22033':100},False,False,America/Chicago,-0.2241047775213378,-0.5053658856189068
72315,2,72315,-0.8656932171125434,72315,35.43018,-90.12754,Frenchmans Bayou,AR,Arkansas,True,,52,0.7,5093,Mississippi,"{'05093':82.69,'47167':17.31}",False,False,America/Chicago,-0.3421181323027036,-1.207811349415247
75039,2,75039,1.3790821079168445,75039,32.82602,-96.96544,Irving,TX,Texas,True,,53442,1783.8,48113,Dallas,{'48113':100},False,False,America/Chicago,0.10771002697616215,1.4867921348930067
70816,2,70816,-0.23411973839418948,70816,32.96714,-93.44614,Cullen,LA,Louisiana,True,,772,431.6,22119,Webster,{'22119':100},False,False,America/Chicago,-0.23341365480101373,-0.4675333931952032
75051,2,75051,-1.0702746740945175,75051,33.24664,-96.62898,Mckinney,TX,Texas,True,,36090,176.8,48085,Collin,{'48085':100},False,False,America/Chicago,-0.2976928399192096,-1.367967514013727
7086,2,7086,1.3992078465209796,7086,40.7681,-74.02085,Weehawken,NJ,New Jersey,True,,12554,6140.2,34017,Hudson,{'34017':100},False,False,America/New_York,1.206712546791344,2.6059203933123234
22901,2,22901,0.5315044557114669,22901,38.09276,-78.40756,Charlottesville,VA,Virginia,True,,15971,120.8,51003,Albemarle,{'51003':100},False,False,America/New_York,-0.3118201333517801,0.21968432235968677
74701,2,74701,-0.7353896362401252,74701,33.90368,-95.44285,Grant,OK,Oklahoma,True,,560,6.8,40023,Choctaw,{'40023':100},False,False,America/Chicago,-0.3405792664109415,-1.0759689026510668
